url,page_name,section_title,text_chunk
https://www.cbs.dk/en/study/graduate,Graduate,Start your graduate studies at CBS,"At CBS, you can choose between more than 30 different graduate programmes, all with their own specialisation. Our programmes are based on a strong and internationally renowned research base and here, you will find a number of programmes combining business studies with politics, sociology, language, IT, communication, and more. Find all the graduate programmes at CBS."
https://www.cbs.dk/en/study/graduate,Graduate,How to choose,"When choosing which graduate programme to apply for, there are some considerations that are important to have made first. Learn more about the five questions you should ask yourself before you choose a graduate programme. A good idea is also to visit Open Days at CBS. Here, you get the chance to talk to current students from all the different programmes as well as hear in-depth presentations about each programme."
https://www.cbs.dk/en/study/graduate,Graduate,Prepare to apply,"Once you have decided which programme to apply for, it is imporant that you make sure you live up to all the requirements in order to have a chance to get offered a study spot. Start preparing your application early to make sure you have all the documentation you need. Learn more about admission and the entry requirements at CBS."
https://www.cbs.dk/en/study/graduate,Graduate,Get familiar with the student life,"Starting a graduate programme is more than just the programme itself. To see if CBS is something for you, see what current students have to say about the student life."
https://www.cbs.dk/en/study/graduate/all-graduate-programmes,All graduate programmes,All graduate programmes (Part 1),"What are your interests? Find the graduate programmes that suit you the best Cand.merc.(kom) - erhvervsøkonomi og virksomhedskommunikationCand.merc.(kom.) giver dig en bred forståelse for kompleks, strategisk virksomhedskommunikation både internt og eksternt i virksomheder og andre typer af organisationer – særligt med henblik på opnåelse af forretningsmæssige mål i en global kontekst.Sales ManagementMSc in Economics and Business Administration (cand.merc.) By combining tools and theories from customer insights and data analytics with knowledge of digital platforms and business model innovation you will learn to strategically position digitally based marketing and sales functions. Working with this omni channel management focus will enable you to develop and optimize integrated marketing and sales functions to create customer value, increase business performance and implement commercial excellence. Cand.ling.merc i interkulturelle markedsstudier med spansk, tysk eller franskUddannelsen udbydes i samarbejde med Københavns Universitet - læs mere på www.ku.dkØkonomisk markedsføringCand.merc."
https://www.cbs.dk/en/study/graduate/all-graduate-programmes,All graduate programmes,All graduate programmes (Part 2),"Ved at have fokus på kundens behov og adfærd, samt på anvendelsen af kvalitative og kvantitative metoder til indsamling og analyse af data, lærer du at udarbejde faktabaserede beslutningsgrundlag for planlægning og gennemførelse af strategier og -aktiviteter.Findes også som erhvervskandidat på deltid MSc in Business Administration and Data ScienceThis programme uniquely combines hard analytical skills with an understanding of the relevant business data context for application. Through this combination you will learn how to use theories, models and tools for data analytics to generate actionable insights and develop fact based platforms for decision making by conducting visual, text and predictive analysis. MSc in Business Administration and Digital BusinessDigital Business focuses on the opportunities that IT can provide when private and public organisations interact with their costumers, clients or stakeholders. You will learn to understand and develop IT-based concepts that match the needs of the users, but also how to implement and commercialize them."
https://www.cbs.dk/en/study/graduate/all-graduate-programmes,All graduate programmes,All graduate programmes (Part 3),"This allows you to create services, apps and other solutions that support the strategy and desired goal for both companies and society at large. Findes også som erhvervskandidat på deltidMSc in Business Administration and Information SystemsAt the MSc IT you learn how to use information and information technology to add value to companies and organisations. You gain an understanding of how IT affects the organisational structure and financial results of a company – and how the organisational needs and economic reality creates possibilities and constraints on the IT architecture. Cand.merc.(psyk) - erhvervsøkonomi og psykologiCand.merc.(psyk.) gør dig til forandringsagent af processer i virksomheder."
https://www.cbs.dk/en/study/graduate/all-graduate-programmes,All graduate programmes,All graduate programmes (Part 4),"Du lærer at analysere den menneskelige faktors betydning i ledelses- og forretningsprocesser - og at designe og implementere løsninger, der forbedrer disse processer, så de bedre opfylder virksomheden mål.Management of Innovation and Business DevelopmentMSc in Economics and Business Administration (cand.merc.)Management of Innovation and Business Development focuses on innovation from different perspectives including strategy, project management, entrepreneurship, management control and finance.MSc in Business Administration and Innovation in Health CareWith a focus on the unique work context of health care organizations, students will learn to analyse health care innovations as business cases and develop actionable skills for their design and implementation. Courses draw on industry experts, high quality academic faculty and real life cases.MSc in Business Administration and BioentrepreneurshipMSc BIO is a full-time two-year (four semesters) programme. You will take courses in advanced biology and learn the business tools and methods from business required to translate scientific research and patents into innovative products and viable business opportunities."
https://www.cbs.dk/en/study/graduate/all-graduate-programmes,All graduate programmes,All graduate programmes (Part 5),"Teaching draws on industry experts, high quality academic faculty, real life cases, insight into bio ventures, and a three month internship in one of Denmark’s leading life science companies.Organisational Innovation and EntrepreneurshipMSc in Social Science (cand.soc.)The programme focuses on how to design and manage processes of innovation and entrepreneurship at all levels in society and businesses. In a co-creative and case-based learning environment, we will uncover both the theoretical and practical aspects of managing the processes that lead to the creation, implementation, and growth of innovative new ventures. With this approach you will acquire the necessary skills to start a business, create innovations, manage change and resources, and lead others in the process of turning a new idea into a viable business. Public Management and Social DevelopmentMSc in Social Science (cand.soc.)By exploring similarities and differences in contemporary challenges to the welfare of citizens in China and Europe, you will learn to manage and participate in social innovation at the interface between the public and private sectors in China as well as Europe."
https://www.cbs.dk/en/study/graduate/all-graduate-programmes,All graduate programmes,All graduate programmes (Part 6),"Strategic Design and EntrepreneurshipMSc in Social Science (cand.soc.)SDE is offered in collaboration with the Royal Danish Academy of Fine Arts Schools of Architecture, Design and Conservation. In this programme you will learn to balance and utilize knowledge of design thinking and processes in combination with tools for commercialization and management. This cross disciplinary insight will allow you to work generatively with designers from a managerial perspective as well as prepare you for design related business entrepreneurship. Cand.merc.(kom) - erhvervsøkonomi og virksomhedskommunikationCand.merc.(kom.) giver dig en bred forståelse for kompleks, strategisk virksomhedskommunikation både internt og eksternt i virksomheder og andre typer af organisationer – særligt med henblik på opnåelse af forretningsmæssige mål i en global kontekst.Cand.merc.(psyk) - erhvervsøkonomi og psykologiCand.merc.(psyk.) gør dig til forandringsagent af processer i virksomheder."
